_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,minDistance
4699312,2017-06-21 02:11:33.533,CA,AB,Edmonton,53.44693,-113.43865,POI1,11.469343990860157
4764891,2017-06-21 06:16:21.540,CA,AB,Edmonton,53.45640,-113.52100,POI1,10.25375126348721
4861985,2017-06-21 07:24:07.313,CA,AB,Edmonton,53.51850,-113.65790,POI1,11.790842160104141
4584716,2017-06-21 04:02:44.887,CA,AB,Edmonton,53.55000,-113.50000,POI1,1.034714964066167
4662588,2017-06-21 03:08:19.023,CA,AB,Edmonton,53.58700,-113.44100,POI1,5.418547293523865
4966616,2017-06-21 00:32:07.993,CA,AB,Saint Albert,53.63340,-113.63530,POI1,13.843934885834463
4845486,2017-06-21 20:22:50.140,CA,AB,Grande Prairie,55.15721,-118.65253,POI1,379.73152746710804
5590236,2017-06-21 19:20:51.860,CA,BC,Victoria,48.43326,-123.39049,POI1,895.4551029470277
5540445,2017-06-21 08:17:05.053,CA,BC,Langley,49.10305,-122.66834,POI1,806.1853757639373
5367678,2017-06-21 01:59:59.927,CA,BC,Surrey,49.12200,-122.71070,POI1,807.1199317172067
5481361,2017-06-21 15:11:24.390,CA,BC,Richmond,49.16535,-123.12666,POI1,827.0474533303303
4773340,2017-06-21 11:16:53.170,CA,BC,Kamloops,50.67480,-120.32900,POI1,565.7717424522424
5485405,2017-06-21 14:11:42.070,CA,BC,Prince George,53.91510,-122.80540,POI1,614.1745709682878
5338567,2017-06-21 07:57:52.607,CA,MB,Winnipeg,49.82840,-97.05990,POI1,1202.474018468326
4697785,2017-06-21 08:11:29.300,CA,MB,Winnipeg,49.87370,-97.08740,POI1,1198.4737458382494
4689833,2017-06-21 08:10:37.550,CA,MB,Winnipeg,49.88483,-97.29362,POI1,1184.6692063367664
5491286,2017-06-21 15:12:27.350,CA,MB,Winnipeg,49.89637,-97.14659,POI1,1193.554488572556
5487381,2017-06-21 07:11:57.160,CA,MB,Winnipeg,49.91600,-97.06690,POI1,1197.7236999422394
5529470,2017-06-21 15:16:03.217,CA,NS,Halifax,44.64875,-63.59148,POI4,70.02702241567688
5024610,2017-06-21 20:35:27.503,CA,NS,Halifax,44.64960,-63.61330,POI4,70.65177186956583
5212160,2017-06-21 12:48:38.700,CA,ON,Windsor,42.27260,-83.07350,POI3,842.652610998998
5506744,2017-06-21 13:13:43.000,CA,ON,Brantford,43.12070,-80.28930,POI3,597.7001750276612
4778691,2017-06-21 05:17:09.320,CA,ON,Brantford,43.16920,-80.26840,POI3,593.624918752272
5234282,2017-06-21 19:50:40.317,CA,ON,Saint Catharines,43.19540,-79.21890,POI3,518.519840920946
5450657,2017-06-21 09:08:41.683,CA,ON,Ancaster,43.21977,-79.98996,POI3,571.1135745807458
5097171,2017-06-21 14:40:48.813,CA,ON,Dundas,43.26490,-79.95550,POI3,566.2548564388205
5221173,2017-06-21 00:49:28.537,CA,ON,Kitchener,43.45530,-80.48450,POI3,594.8962374028653
5158556,2017-06-21 10:44:54.167,CA,ON,Oakville,43.47570,-79.65910,POI3,534.0986871679235
4983333,2017-06-21 01:33:08.837,CA,ON,Mississauga,43.57380,-79.71930,POI3,533.5320437975577
5445992,2017-06-21 18:07:52.733,CA,ON,Toronto,43.64590,-79.38570,POI3,505.8869682142729
5158235,2017-06-21 08:44:51.147,CA,ON,Toronto,43.64770,-79.41740,POI3,508.08536118562836
5593282,2017-06-21 03:21:06.997,CA,ON,Etobicoke,43.65270,-79.55240,POI3,517.6071687775465
5448491,2017-06-21 19:08:23.327,CA,ON,Etobicoke,43.66106,-79.57372,POI3,518.75062058348
5055304,2017-06-21 01:37:40.177,CA,ON,Toronto,43.66410,-79.39900,POI3,505.9516345625427
5053667,2017-06-21 06:37:40.190,CA,ON,Toronto,43.66510,-79.43690,POI3,508.64240552928453
5311442,2017-06-21 14:55:50.990,CA,ON,Toronto,43.67810,-79.29540,POI3,497.7860938445825
4974549,2017-06-21 18:32:38.073,CA,ON,Mississauga,43.69700,-79.65000,POI3,522.5923840567524
5445461,2017-06-21 21:07:53.240,CA,ON,York,43.70054,-79.44473,POI3,507.495458079687
